id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-NF-004,no funcional,Must,,,JwtService,N/A,JwtServiceTest (accessTokenContieneLosSieteClaims + refreshTokenContieneLosSieteClaims + nbfEsIgualAIat + jtiEsUnicoEntreTokens + issuerIncorrectoEsRechazado + audienceIncorrectaEsRechazada),seguridad,Verifica los 7 claims RFC 7519 (iss/sub/aud/exp/nbf/iat/jti) en JwtService.buildToken,verificado
REQ-NF-005,no funcional,Must,,,Frontend Angular (styles.css),N/A,"FrontendResponsivenessTest (7 pruebas: viewport, doctype, CSS media queries, Angular bootstrap)",,"frontend/dist/biopet-frontend/browser/index.html (viewport meta tag, media queries en styles-*.css, app-root); verificado por build reproducible",verificado
REQ-NF-006,no funcional,Should,,,Frontend Angular,N/A,"Prevista: ejecucion manual exploratoria en Chrome, Firefox y Edge (no ejecutada)",,"Sin evidencia archivada de ejecucion de los flujos criticos en Chrome, Firefox y Edge: ni capturas, ni matriz de resultados, ni corrida automatizada. El repositorio tampoco contiene configuracion especifica de compatibilidad (no hay archivo browserslist propio en frontend/): aplica el objetivo por defecto de Angular 17. Ningun criterio de aceptacion tiene artefacto.",pendiente
REQ-NF-007,no funcional,Must,,,Makefile/docker-compose.yml,N/A,"HealthCheckTest (5 pruebas: /actuator/health UP, estructura JSON, content-type, sin auth, cabeceras seguridad)",,"HealthCheckTest (5 pruebas) verifica que /actuator/health responde 200 con status UP, sin autenticacion, con content-type correcto y con las cabeceras de seguridad. No existe registro fechado de sondeos periodicos que permita calcular un porcentaje de disponibilidad sobre una ventana de evaluacion; por eso no se declara ninguna cifra de disponibilidad historica. El compromiso academico de operatividad durante las semanas de evaluacion pasa a la seccion 2.5 del SRS como restriccion operacional.",implementado
REQ-NF-008,no funcional,Must,,,SecurityConfig (BCryptPasswordEncoder),N/A,AuthControllerTest (registro/login exitoso),CRUD-ORM,"db/seed.sql (hash BCrypt real del usuario admin, prefijo $2b$12$); SecurityConfig.passwordEncoder() = BCryptPasswordEncoder(12)",verificado
REQ-NF-009,no funcional,Must,,,Logging de autenticacion,N/A,AuthenticationAuditServiceTest (10 pruebas) + AuthControllerTest,logging,docs/mediciones/sec/A09-logging.md (raw/A09-audit-logs.txt); sin integracion SIEM centralizada (ver Limitacion actual del documento),verificado
REQ-NF-010,no funcional,Must,,,LoginRateLimiterService,POST /api/auth/login,LoginRateLimiterServiceTest + AuthControllerTest.sextoIntentoFallidoDevuelve429ProblemDetail,seguridad,docs/mediciones/sec/A07-authentication.md (raw/A07-auth-rate-limit.txt),verificado
REQ-NF-011,no funcional,Must,,,Estructura de paquetes backend (controller/service/repository/entity),N/A,Revision de codigo,revision,,verificado
REQ-NF-012,no funcional,Should,,,Cache Redis (listado mascotas) - TTL configurable,GET /api/mascotas,Inspeccion de configuracion + medicion Redis,CRUD-ORM,"Requisito con dos obligaciones, sin identificadores adicionales. Obligacion A (TTL configurable): application.yml spring.cache.redis.time-to-live=${CACHE_TTL_MS:300000}; docs/mediciones/redis/ con ttl-cache-mascotas.txt, keys-mascotas.txt, dbsize-durante-carga.txt y config-maxmemory.txt; clave de cache por usuario y pagina, probada por dosDuenosConMismaPaginaNoComparenResultadosDeCache. Obligacion B (medicion de hit ratio): NO existe ninguna medicion de keyspace_hits/keyspace_misses en el repositorio. El requisito no esta cumplido.",implementado
REQ-NF-013,no funcional,Must,,,MascotaRepository (fn_resumen_mascotas_por_especie),GET /api/mascotas/resumen-especies,ResumenEspeciesIntegrationTest,SP,docs/basedatos/CATALOGO-SP.md,verificado
REQ-NF-014,no funcional,Must,,,TokenBlacklistService/JwtAuthenticationFilter/configuracion de cache Redis,N/A,Prevista: prueba de integracion con Redis no disponible (503 ProblemDetail en la verificacion de revocacion y en logout; degradacion de la cache a consulta directa a PostgreSQL) - no implementada,seguridad,"Requisito nuevo de la revision 2026-09-11. Comportamiento real verificado en codigo: TokenBlacklistService.isRevoked invoca redisTemplate.hasKey sin try; con Redis caido lanza RedisConnectionFailureException, que no captura el catch (JwtException | IllegalArgumentException) de JwtAuthenticationFilter ni alcanza GlobalExceptionHandler (un RestControllerAdvice no cubre la cadena de filtros): el resultado es un 500 del contenedor sin ProblemDetail. No hay CacheErrorHandler registrado. No es fail-open ni fail-closed deliberado: es un fallo no controlado.",pendiente
REQ-NF-015,no funcional,Must,,,MascotaService/CitaService/VacunaService/ConsultaService,GET /api/mascotas; GET /api/citas; GET /api/consultas; GET /api/vacunas (y sus variantes por id),"MascotaControllerTest (duenoSoloVeSusPropiasMascotasEnListado, duenoConsultaMascotaDeOtroDuenioDevuelve403, dosDuenosConMismaPaginaNoComparenResultadosDeCache) + CitaControllerTest (duenoSoloVeSusPropiasCitasEnListado, duenoNoPuedeConsultarCitaDeMascotaAjena) + VacunaControllerTest (duenoSoloVeVacunasDeSusPropiasMascotas, duenoConsultaVacunaDeMascotaAjenaDevuelve403) + ConsultaControllerTest (duenoDeOtraMascotaNoPuedeVerConsultaAjena)",seguridad,"Requisito transversal nuevo de la revision 2026-09-11. docs/mediciones/sec/A01-access-control.md con raw/A01-access-control.txt (intento real de acceso cruzado entre dos duenos sobre TLS, respuesta 403 ProblemDetail). INCUMPLIMIENTO ABIERTO: ConsultaService.listar() devuelve findAllByActivoTrue(pageable) tambien para ROLE_DUENO y ConsultaRepository no declara findAllByMascota_Duenio_IdAndActivoTrue, que si existe en CitaRepository y VacunaRepository. Requiere cambio de codigo de backend.",implementado
REQ-NF-016,no funcional,Must,,,RegistroRequest/UsuarioRequest/UsuarioService/SecurityConfig,POST /api/auth/registro; POST /api/usuarios; PUT /api/usuarios/{id},"AuthControllerTest.registroConCamposInvalidos + UsuarioControllerTest (crearUsuarioConCamposInvalidosDevuelve422, crearUsuarioSinPasswordDevuelve400, actualizarUsuarioDevuelve200)",seguridad,"Politica real implementada: @Size(min=8, max=80) en RegistroRequest y UsuarioRequest, BCryptPasswordEncoder(12) y ningun DTO de respuesta con campo de contrasena. Probadas: longitud minima en registro publico y en creacion administrativa, contrasena obligatoria al crear, conservacion de la contrasena al actualizar. NO PROBADO: el limite superior de 80 caracteres no tiene ninguna prueba automatizada; solo consta en la anotacion. Sin reglas de complejidad, caducidad ni comprobacion contra listas filtradas.",implementado
REQ-NF-017,no funcional,Should,,,Procedimiento operativo documentado (pg_dump / psql),N/A,Inspeccion documental + restauracion real ejecutada (no automatizada),operacion,"Toda la evidencia pertenece a ESTE repositorio. docs/despliegue/BACKUP.md documenta el procedimiento (que se respalda, frecuencia, formato, destino, retencion, checksums). El volcado docs/despliegue/ejemplo-backup-20260817.sql (64762 bytes, UTF-16) se verifico de forma independiente: contiene las 6 tablas del esquema (usuarios, mascotas, citas, consultas, vacunas, flyway_schema_history), 6 secuencias incluida seq_ficha_biopet, 4 triggers y 7 rutinas (las 6 de db/procs/ mas set_actualizado_en), con usuarios=1 fila y el resto 0. NO RESPALDADO: la ejecucion de la restauracion del 2026-08-17 y la invocacion de fn_siguiente_numero_ficha sobre la base restaurada constan solo como narracion en BACKUP.md, sin log crudo archivado. El respaldo tampoco esta automatizado en el repositorio.",implementado
REQ-NF-018,no funcional,Should,,,"Frontend Angular (login.component.ts, mascotas.component.ts)",N/A,Lighthouse CI (lighthouserc.js declara Accessibility >= 0.90 a nivel error),,"Lectura directa de categories.accessibility.score en los 12 archivos docs/mediciones/lighthouse/lhci-20260818-0538-*.json: 91 en los 12 casos (perfiles movil y desktop x rutas /login y /mascotas x 3 corridas), sobre el umbral de 90. Umbral declarado a nivel error en lighthouserc.js (linea 47) y lighthouserc.desktop.js (linea 56). Procedencia en lhci-20260818-0538.meta.txt (2026-08-18T05:38:06Z, commit e94bb72, node v24.18.0, lhci 0.14.0). Medido contra http://localhost:4200. NO se declara conformidad WCAG en ningun nivel. La pantalla de vacunas no esta entre las rutas auditadas. Las sumas SHA256SUMS*.txt corresponden a la corrida del 2026-08-01, no a estas 12.",verificado
